,Location,new_reviews,Comp
587,"Jacksonville, Florida",pool area ok fouryearold decent kid area overall find hotel unpleasant surprisingly disappointing especially wyndham room outdated dirty anyone travel stay hotel lot depress unclean feeling could have stayed somewhere much nice lot less money service lacking take 40 minute 3 phone call valet deliver bag room upon check self park exact cost carry bag issue check take forever order two kid meal room service meh -PRON- be high maintenance realistic expectation would not stay read read less,Negative
588,Boston,beautiful resort relaxing read read less,Positive
589,"Schulenburg, TX",close proximity lot site subway right corner taxi ride reasonable use quick elevator read read less,Neutral
590,"Minneapolis, us",great location near little italy chinatown interesting people stay building staff great read read less,Positive
591,San Antonio,bathroom old mildew tile grout bathroom room cold trouble wth elevator walk 25 story pau 346 one night expensive read read less,Negative
592,"Washington, DC",great location great coffee shop lunch room lobby read read less,Positive
593,"North Branford, CT.",although property outside beautiful pool amenity great hotel room qhich pay 200 dollar one night date tellevision basic channel room could cleaner upon check hit 24 dollar fee per day maintain room amd property believe include already expensive price thr room 200 dollar room end 250 one night stay less 24 hour building read read less,Positive
594,Chicago,lobby ilwas nice clean laundry eat be not operate well hotel next disney spring 5 minute walk read read less,Positive
595,Huissen,de locatie van het hotel perfect dichtbij het pennstation en timesquare ligt dichtbij en het empire statebuilde de kamers zijn wat gedateerd maar wel netjes en schoon wij hadden een geweldig uitzicht op de 37e verdiepe het hotel zit tick tock diner maar dat vonden wel duur wel lekker en echt amerikaans tegenover het hotel zit mc donald en een pizzeria en de buurt zitten heel veel eettentjes waar je kan ontbijten enige minpuntje toen wij de laatste dag de koffer weg lieten zetten omdat avond gingen vliegen en 1200 uur moesten uitchecken dat 5 per koffer en tas moesten betalen en dat loopt aardig op als je meet je gezin bent zelfs voor een klein tasje moest je 5 betalen read read less,Positive
596,Algoma wiscondin,stay 4 time love easy disney spring park love easy bus read read less,Positive
597,Pt. Pleasant NJ,great place take kid due pool even well picture website room clean staff friendly thing stop give property high rating cost character breakfast expect pay also expect one character show read read less,Positive
598,"Bauru, SP - Brasil",gostei da limpeza localização não gostei restaurante read read less,Neutral
599,Good,clean good location poor restaurant food service read read less,Neutral
600,"Boston, MA",soon walk staff extremely helpful friendly property huge easy navigate plenty parking property accessible everything pool hot tub area always towel always clean can not believe amount negative review property happy decide keep book wyndham feel safe comfortable entire stay read read less,Positive
601,"Oak Ridge, NJ",love location cleanliness facility impeccable staff lovely friendly competent feel safe night day favorite hotel nyc read read less,Positive
602,Boston mass,like bathroom window piece together screw top window sinking leave 1 inch gap make cold crank heat keep bathroom door close block cold sound sleep comfortably bathroom feel like country hick house know house deep hole shack build side cold know manhattan busy city 26th floor window let alot strert sound bellow throughthe rest hotel nice window might return another visit read read less,Positive
603,"Seaside, CA",staff extremely helpful friendly upgraded executive level give free breakfast love stay read read less,Positive
604,Walnut hill Illinois,place huge disappointment leave book different hotel never think pics online flatter real room look sad old way get bed overall get creepy vibe room parking lot mile lobby first floor anyone come slide door hate leave 5 minute arrive tell one staff desk busy unfriendly anyway read read less,Negative
605,Gifu Japan,happy hotel make preparation list 1 body scrub towel disposable type 2 toothbrush single disposable type 3 electric toilet seat difficult set 3 1 useful youyr guest read read less,Positive
606,Toronto,proi love 1920s vibe hotel make feel like step back time small museumlike set downstairs look back history hotel include item tesla hotel step away subway within walk distanceshort subway ride away major nyc attraction staff helpful throughout whole stay con issue hot water come discolour alerted staff read read less,Positive
607,"Stuart, Florida",location disney springs buses park stay least 45 time past read read less,Neutral
608,"Paramus, N.J.",facility clean employee courteous helpful pool area beautiful love utilize transportation disney park read read less,Positive
